,regiao_geografica,regional_de_saude,municipio,tipo_da_instituicao,sigla_da_instituicao,nome_da_instituicao,cnpj_da_instituicao,cnpj_do_escritorio_regional_local,tipo_da_forma_de_abastecimento,codigo_forma_de_abastecimento,nome_da_forma_de_abastecimento,nome_da_eta_uta,data_de_registro,data_de_preenchimento_do_relatorio_semestral,data_da_coleta,data_da_analise,uf,ano,semestre,substancia,grupo,lq,ld,vmp,resultado,tipo_resultado,consistencia,pt_monitoramento,atendimento_ao_padrao,tipo_cor
0,SUL,09 RS - FOZ DO IGUACU,RAMILANDIA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S412125000001,RAMILANDIA UT3531,,09/03/2018,08/02/2018,03/01/2018,26/01/2018,PR,2018,1,"2, 4, 6 Triclorofenol",,"2,0000",,0.2,"2,0000",QUANTIFICADO,Consistente,,Acima do VMP,1
1,SUL,02 RS - CURITIBA,PIRAQUARA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410690000001,CURITIBA UT0011,,02/08/2018,02/08/2018,05/06/2018,21/06/2018,PR,2018,1,,,"21,3100",,0.08,"21,3100",QUANTIFICADO,Consistente,,Acima do VMP,2
2,SUL,,SAO JOAO DO ITAPERIU,Empresa Estadual,CASAN,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO,82508433000117.0,82508433007715.0,SAA,S420210000001,SAA BARRA VELHA,,24/07/2018,24/07/2018,23/03/2018,05/04/2018,SC,2018,1,,,"0,124",,0.08,"0,207",QUANTIFICADO,Consistente,,Acima do VMP,2
3,SUL,,AURORA,Empresa Estadual,CASAN,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO,82508433000117.0,82508433007715.0,SAA,S421480000001,ETA RIO DO SUL,,26/07/2018,29/06/2018,04/04/2018,12/04/2018,SC,2018,1,,,"0,043",,0.08,"0,092",QUANTIFICADO,Consistente,,Acima do VMP,2
4,SUDESTE,,TAQUARITUBA,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517053119.0,SAA,S355380000001,TAQUARITUBA,,13/08/2018,24/07/2018,02/04/2018,05/04/2018,SP,2018,1,,,"0,008",,0.08,01539,QUANTIFICADO,Consistente,,Acima do VMP,2
5,SUL,,PRESIDENTE NEREU,Empresa Estadual,CASAN,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO,82508433000117.0,82508433007715.0,SAA,S421410000001,ETA PRESIDENTE NEREU,,25/07/2018,29/06/2018,24/04/2018,02/05/2018,SC,2018,1,,,"0,038",,0.08,"0,085",QUANTIFICADO,Consistente,,Acima do VMP,2
6,SUL,02 RS - CURITIBA,QUITANDINHA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S412120000001,QUITANDINHA UT2191,,26/07/2018,06/07/2018,13/03/2018,29/03/2018,PR,2018,1,"2, 4, 6 Triclorofenol",,"10,0000",,0.2,"10,0000",QUANTIFICADO,Consistente,,Acima do VMP,1
7,SUL,14 RS - PARANAVAI,NOVA LONDRINA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S411710000001,NOVA LONDRINA UT1831,,09/08/2018,12/07/2018,14/05/2018,24/05/2018,PR,2018,1,,,"80,0000",,0.08,"80,0000",QUANTIFICADO,Consistente,,Acima do VMP,2
8,SUL,02 RS - CURITIBA,AGUDOS DO SUL,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410030000001,QUEIMADOS UT 5361,,20/08/2018,20/08/2018,10/04/2018,28/04/2018,PR,2018,1,Trihalometanos Total,,"2,0000",,0.1,"2,0000",QUANTIFICADO,Consistente,,Acima do VMP,2
9,SUL,09 RS - FOZ DO IGUACU,RAMILANDIA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S412125000001,RAMILANDIA UT3531,,09/03/2018,08/02/2018,03/01/2018,26/01/2018,PR,2018,1,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,"2,0000",,0.2,"2,0000",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,1
10,SUL,02 RS - CURITIBA,PIRAQUARA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410690000001,CURITIBA UT0011,,02/08/2018,02/08/2018,05/06/2018,21/06/2018,PR,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"21,3100",,0.08,"21,3100",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
11,SUL,23ª REGIONAL DE SAÚDE- JOINVILLE,SAO JOAO DO ITAPERIU,Empresa Estadual,CASAN,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO,82508433000117.0,82508433007715.0,SAA,S420210000001,SAA BARRA VELHA,,24/07/2018,24/07/2018,23/03/2018,05/04/2018,SC,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,124",,0.08,"0,207",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
12,SUL,12ª REGIONAL DE SAÚDE- RIO DO SUL,AURORA,Empresa Estadual,CASAN,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO,82508433000117.0,82508433007715.0,SAA,S421480000001,ETA RIO DO SUL,,26/07/2018,29/06/2018,04/04/2018,12/04/2018,SC,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,043",,0.08,"0,092",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
